Mfcc0;Mfcc1;Mfcc2;Mfcc3;Mfcc4;Mfcc5;Mfcc6;Mfcc7;Mfcc8;Mfcc9;Mfcc10;Mfcc11;Mfcc12;Mfcc13;Mfcc14;Mfcc15;Mfcc16;Mfcc17;Mfcc18;Mfcc19;Mfcc20;Mfcc21;Mfcc22;Mfcc23;Mfcc24;Mfcc25;Mfcc26;Mfcc27;Mfcc28;Mfcc29;Mfcc30;Mfcc31;Mfcc32;Mfcc33;Mfcc34;Mfcc35;Mfcc36;Mfcc37;Mfcc38;Mfcc39;Mfcc40;Mfcc41;Mfcc42;Mfcc43;Mfcc44;Mfcc45;Mfcc46;Mfcc47;Mfcc48;Mfcc49;Mfcc50;Mfcc51;Mfcc52;Mfcc53;Mfcc54;Mfcc55;Mfcc56;Mfcc57;Mfcc58;Mfcc59;Mfcc60;Mfcc61;Mfcc62;Mfcc63;Mfcc64;Mfcc65;Mfcc66;Mfcc67;Mfcc68;Mfcc69;frame_energy;frame_zcr;frame_pitch;emotion;wav_files
11.7644;15.2065;20.56;18.7195;8.59454;2.60504;-3.52913;4.00794;0.856522;-1.41444;-1.97327;-6.4029;-11.4443;-14.5983;-10.9235;-21.0809;-17.6066;-18.4538;-10.3729;-16.5799;-14.1963;-8.97072;-12.1012;-14.6611;-4.82252;0.683419;-7.99145;-8.9918;-15.391;-14.5033;-11.701;-9.99299;-10.101;-18.094;-13.0773;-8.95192;-6.88018;3.55306;12.7008;9.65606;15.6828;12.0696;8.14049;4.64956;-4.54849;-15.3121;-10.5236;-0.892325;-8.26998;-2.39025;-7.81341;-15.5289;-13.0526;-16.3063;-19.1471;-20.6468;-18.0805;-8.62028;-4.1295;-12.0285;-20.4327;-17.9313;-18.0225;-16.1446;-14.5755;-10.3287;-5.63766;-2.09187;3.79886;3.23278;1052.02612305;0.0724688023329;388.863525391;A;16b02Aa.wav
27.4524;22.2743;23.7845;22.3292;18.6293;27.3408;15.4277;8.70985;0.73538;-7.70772;-7.75157;-8.21636;-6.65837;-4.30736;3.63827;6.34691;8.73318;7.19561;13.4202;10.5941;5.98677;7.35354;7.36655;4.44114;11.4417;6.49826;3.6847;3.4032;2.50831;1.24302;2.18867;0.529679;-2.90178;4.48757;5.28577;9.04164;13.3197;15.6695;16.019;11.6482;12.3424;8.53821;10.5692;10.4792;8.4008;7.92808;5.96094;5.71344;3.89805;0.714781;7.41208;12.559;11.6935;14.066;13.4393;13.1159;12.7073;11.1179;7.56093;0.290756;1.39363;5.58532;9.5725;16.1388;22.3954;24.2556;15.7221;11.6563;10.8651;16.3714;1672.56945801;0.0367689281702;243.486999512;F;08a02Fe.wav
12.9006;12.0652;9.03558;17.1745;10.568;12.0788;10.0367;9.15368;10.1898;8.89157;-10.4865;-9.44947;-13.7808;-21.5652;-16.2956;-15.6112;-19.1152;-23.8006;-18.7344;-17.0482;-17.1771;-18.7998;-15.4879;-16.892;-14.9224;-27.6838;-29.6683;-27.5764;-23.4208;-24.8681;-22.5171;-13.893;-5.80043;2.21656;-0.655136;3.06478;9.11272;10.8492;7.58237;-0.240105;-3.60147;-13.5821;-13.4097;-19.5743;-12.617;-14.3267;-19.3728;-20.3177;-15.6548;-12.2109;-13.4841;-4.66108;-1.09316;3.69168;10.7492;-4.12439;-4.14104;-7.44733;-14.7574;-17.2276;-21.5229;-24.3571;-9.52315;-0.919185;2.31021;6.71268;0.982673;-1.18467;-13.1738;-16.4176;429.066314697;0.0599226728082;352.420043945;W;08a01Wa.wav
19.3033;24.7772;19.6898;19.0462;24.1144;24.3345;25.7613;11.5451;16.7339;17.6681;5.4461;-0.88189;-11.9999;-2.84637;-4.52479;-1.03183;8.71481;2.61826;-1.23424;-5.893;-2.14937;0.712579;-10.0386;-2.68208;-4.00137;-7.43704;12.3555;17.7257;20.2121;17.9619;23.7618;14.1094;12.8757;8.03643;-1.09532;-8.21523;-3.89309;-3.95547;-0.629274;1.76284;-2.41195;-2.41666;5.18716;7.96374;-1.92483;-2.78151;-7.13681;-8.23662;4.46305;14.8866;20.2531;24.2903;19.6972;8.65241;9.45854;2.10941;0.603572;1.3317;-0.142909;-1.57015;4.32654;9.09512;9.90426;9.56881;24.3796;29.7934;15.6441;12.6956;-1.06591;-4.59103;551.81640625;0.0544886700809;367.367980957;A;13a01Ac.wav
12.861;12.0337;19.282;19.2455;10.2249;11.4343;1.94472;4.17535;3.97806;4.60552;3.40568;6.05617;9.07484;5.15532;1.8454;7.23243;8.58145;6.36981;2.50668;5.82122;2.39756;-8.18874;-2.13915;-2.6854;-5.88849;-12.0589;-7.63269;-8.05831;-3.70843;0.365325;3.78514;6.45199;4.31457;4.64487;6.28002;6.33868;3.63875;4.78356;7.95592;10.4371;7.6967;0.091815;-3.02568;5.45999;8.34934;5.87316;4.66501;3.65807;2.98046;2.60237;9.21486;5.15703;1.2501;3.15659;5.09061;6.11145;16.3504;12.0872;7.946;8.38942;6.31177;13.1338;24.4183;21.1564;20.6913;19.4865;19.6475;19.0996;16.1181;3.01519;2663.80737305;0.0599893331528;205.168380737;L;16b01Lc.wav
16.1879;19.6432;16.1454;14.7843;22.6498;16.2207;10.0767;3.55893;0.0394751;2.75094;7.24647;4.05713;-5.72444;-9.91126;-11.8591;-15.2994;-9.48444;-8.49545;-8.20713;6.54276;13.425;16.5627;12.851;21.0286;15.5348;11.3058;-5.03209;-4.4386;-7.81004;-7.37897;1.50393;3.33157;8.8971;17.7716;7.76663;0.974315;1.32631;-1.33543;-3.128;-4.99506;-14.7971;-14.7982;-8.17287;-7.50089;-8.1833;-4.38234;-3.16411;12.955;12.5043;9.11349;3.43616;5.09909;3.36564;-0.808987;8.29225;6.40836;9.73053;16.0394;18.932;3.83502;16.1448;20.7145;21.2765;7.49033;5.55069;5.85815;0.662226;-9.32475;-8.41667;-7.39255;1074.73059082;0.0559542439878;226.050170898;F;03a04Fd.wav
30.4275;30.3525;30.868;28.9189;30.5804;31.1;29.2339;29.8859;22.896;18.6119;17.9908;13.1725;14.306;12.5064;15.6863;10.3618;14.9549;1.71688;2.94239;-1.09003;-5.38665;-5.00337;-10.6031;-11.2949;-9.01013;-7.56702;-7.49065;-5.41958;-7.37182;-8.4901;-2.8271;5.0188;9.75438;7.44222;10.5668;8.58332;6.71567;9.47229;6.27022;13.1281;14.1522;16.3487;17.3923;19.2246;11.8378;11.2726;13.108;7.55493;12.5762;18.3247;25.9641;27.9961;16.8024;10.7884;17.2791;19.1636;17.0496;18.8652;14.928;15.4374;13.7216;12.6813;8.97669;12.4068;13.329;13.7926;16.47;22.5005;18.7323;17.2088;4057.52026367;0.0295071415603;177.264053345;L;13b02Lc.wav
18.3908;25.9123;21.1566;15.7298;13.097;13.8078;19.5257;9.3905;3.67256;-4.38093;-9.57977;-11.3419;-9.07989;-7.35571;-4.25797;0.829353;-1.10434;-1.95827;-1.08775;-0.29565;-4.53035;4.02625;-1.23498;-2.70455;-6.42072;-7.13535;-3.67607;-4.04154;-6.68702;-10.7847;-7.14283;-2.56103;1.52364;7.06947;7.58787;8.72845;13.0072;6.98127;0.562699;1.39155;-1.19995;7.21566;1.55753;4.32924;1.18884;7.28789;5.31277;4.55136;1.27541;0.522714;2.53578;1.82708;4.35423;2.88665;9.83492;5.53342;7.75501;5.32176;4.82317;1.41715;4.96228;-2.65345;-0.485386;4.52338;4.159;2.15404;8.1407;13.5446;8.56881;7.89446;3308.40600586;0.0536560192704;195.7371521;L;16b01La.wav
11.9269;14.402;15.5036;17.6501;16.0819;23.5293;9.17993;16.7796;7.48978;4.72799;6.7253;3.62048;8.73469;7.40512;9.54879;13.6264;4.84688;6.39883;8.0615;1.60845;1.07078;0.717639;-1.37409;-8.57461;-9.90447;-14.3997;-7.37568;-6.32189;-5.28325;-4.23543;-9.51127;-13.2651;-11.7358;-8.14193;-3.6712;-1.0856;7.18007;9.26014;9.66267;2.12083;-1.03007;-3.64893;-7.5971;-8.79623;-8.9212;-4.68367;-5.72366;-4.24183;1.87752;4.3763;6.58141;7.2969;11.2528;14.6995;13.837;5.26621;-1.41558;-5.95929;-10.0798;-13.2793;-11.1142;-6.59633;5.89987;13.8608;12.3929;10.2975;19.8755;18.8101;18.8701;19.0234;1312.46618652;0.053476434201;2950.24414062;W;12b09Wc.wav
17.1028;9.11611;17.7221;15.2294;4.53429;6.36835;6.68696;11.9919;11.0401;11.2893;16.2568;21.0746;20.3034;17.6497;20.9763;21.6249;21.641;17.6094;20.6126;14.7023;13.0498;7.40776;9.40893;5.59136;8.6673;6.01877;4.90834;2.07265;1.4356;3.67722;5.57472;12.1456;8.14494;15.6378;13.4195;10.5092;16.4968;12.3117;12.9324;14.1601;20.6116;21.7728;20.9207;18.2369;13.8572;17.5475;13.4863;16.026;14.6971;15.4942;9.79023;4.48405;3.92632;-0.252053;0.217121;-4.29744;-8.86928;1.39642;-5.54693;-0.453733;14.3321;8.24397;5.19813;8.93853;7.44991;7.38252;14.6038;10.9876;13.6797;10.4898;624.427978516;0.085328862071;192.393783569;W;10a07Wb.wav
